word,translate
able,capaz
about,sobre
absolutely,absolutamente
accident,acidente
act,agir
actually,na verdade
admit,Admitem
afraid,com medo
after,depois
again,de novo
against,contra
ago,atrás
agree,concordar
ah,Ah
ahead,à frente
ain't,não
air,ar
Al,Al
Alexis,Alexis
Alison,Alison
alive,vivo
all,todos
almost,quase
alone,sozinho
along,junto
already,já
alright,tudo bem
also,também
always,sempre
am,sou
amazing,incrível
an,um
and,e
Angel or angel,Anjo ou anjo
angry,nervoso
another,outro
answer,responder
Antonio,Antonio
any,qualquer
anybody,qualquer pessoa
anymore,não mais
anyone,qualquer um
anything,qualquer coisa
anyway,de qualquer forma
anywhere,em qualquer lugar
apart,separado
apartment,apartamento
appreciate,apreciar
are,são
aren't,não são
around,em volta
as,como
ask,perguntar
asked,perguntado
asking,Perguntando
ass,bunda
at,no
attention,atenção
aunt,tia
away,ausente
baby,bebê
back,voltar
bad,ruim
bar,bar
be,ser
beat,bater
beautiful,lindo
because,porque
become,tornar-se
bed,cama
been,estive
before,antes
behind,atrás
being,ser
believe,acreditar
Ben,Ben
besides,além do mais
best,melhor
bet,aposta
Beth,Beth
better,melhorar
between,entre
big,grande
bill,conta
Billy or billy,Billy ou Billy
birthday,aniversário
bit,pedaço
bitch,cadela
black or Black,preto ou preto
blame,culpa
blood,sangue
Bo,Bo
body,corpo
book,livro
both,ambos
box,caixa
boy,garoto
boyfriend,namorado
boys,Rapazes
break,quebrar
bring,trazer
broke,quebrado
Brooke,Brooke
brother,irmão
brought,trouxe
buddy,companheiro
building,prédio
business,negócios
busy,ocupado
but,mas
buy,comprar
by,por
bye,tchau
call,chamar
called,chamado
calling,chamando
calls,chamadas
calm,calma
came,veio
can,pode
can't,não pode
cannot,não pode
car,carro
care,Cuidado
careful,cuidadoso
Carly,Carly
case,caso
catch,pegar
caught,capturado
cause,causa
certain,certo
certainly,certamente
chance,chance
change,mudar
changed,mudado
charity,caridade
check,verificar
child,criança
children,crianças
choice,escolha
Chris,Chris
